Event ID;Station ID;Nb.photos / videos;Start;End ;Event duration (h:mn:sec);Date;Station ID_1;Nb.ind;Nb.males;Nb.females;Nb.Adults;Nb.Subadults;Nb.Juvenils;Undetermined Adult;Activities;Mouvement;Comments;Photos/Vidéos;Other observations
9-165;9;6;12:20:29;12:22:07;00:01:00;31/08/2016;G10;1;0;0;1;0;0;1;Travelling;D;;Photos;
7-8;7;7;13:25:39;13:27:02;00:01:00;02/09/2016;F1;3;0;0;3;0;0;3;Travelling;D;3 photos sur 7 ;Photos;
8-124a;8;50;14:20:30;14:28:50;00:08:00;04/09/2016;D11;26;2;1;11;11;4;8;Travelling;D;;Photos;
8-124b;8;40;14:42:10;14:49:30;00:07:00;04/09/2016;D11;17;1;2;8;7;2;5;Travelling, Social;D;;Photos;
8-124c;8;19;16:36:40;16:46:09;00:09:00;04/09/2016;D11;6;0;2;3;2;1;1;Travelling, Social;D;;Photos;
10-97;10;14;09:08:10;09:09:14;00:01:00;10/10/2016;G2;4;1;2;3;1;0;0;Travelling;D;;Photos;
9-604;9;60;11:11:15;11:28:20;00:17:00;11/10/2016;G10;27;1;1;14;11;2;12;Rest, Social;S;;Photos;
8-180;8;12;17:34:15;17:49:05;00:14:00;12/10/2016;D11;13;0;0;4;5;4;4;Food, Social, Rest;S;;Photos;
8-181;8;25;17:58:33;18:14:50;00:16:00;12/10/2016;D11;11;1;1;4;3;4;2;Rest, Social;S;;Photos;
8-182a;8;11;06:56:21;06:58:05;00:01:00;13/10/2016;D11;3;0;2;2;0;1;0;Travelling;D;;Photos;
8-182b;8;35;07:15:33;07:29:54;00:14:00;13/10/2016;D11;15;2;3;8;6;1;3;Travelling;D;;Photos;
11-187;11;3;07:02:26;07:03:55;00:01:00;14/10/2016;G7;20;2;4;11;7;2;5;Travelling, Food;D;;Vidéos;
7-272;7;17;06:19:58;06:26:09;00:06:00;02/11/2016;F1;7;1;0;4;2;1;3;Travelling;D;Manque 8 photos;Photos;
7-276;7;13;08:49:49;08:54:06;00:04:00;03/11/2016;F1;6;0;2;2;3;1;0;Rest, Food;S;Manque 7 photos;Photos;
7-309;7;58;11:02:03;11:07:01;00:04:00;13/11/2016;F1;16;1;3;9;5;2;5;Travelling;D;Manque 44 photos;Photos;
11-229;11;5;08:31:22;08:34:24;00:03:00;01/12/2016;G7;13;0;1;6;5;2;5;Travelling;D;Manque 2 vidéos;Vidéos;
