ID;Class;Sex
1;A;F
2;A;U
3;A;F
4;A;M
5;A;F
6;J;U
7;A;M
8;S;U
9;S;U
10;S;U
11;A;U
12;S;U
13;A;U
14;S;U
15;S;U
16;S;U
17;A;F
18;A;U
