ID;Class;Sex
1;A;M
2;A;F
3;J;U
4;A;U
5;A;U
6;J;U
7;J;U
8;J;U
9;A;U
10;A;U
11;A;U
12;J;U
13;A;U
14;A;U
15;A;U
16;A;U
