ID;Class;Sex
1;A;F
2;A;M
3;S;U
4;S;U
5;S;U
6;S;U
7;A;F
8;J;U
9;A;U
10;A;U
11;A;U
12;A;F
13;A;M
14;J;U
15;A;U
16;A;U
