ID;Class;Sex
1;A;M
2;A;F
3;A;M
4;A;U
5;A;F
6;S;U
7;A;F
8;S;U
9;S;U
10;A;M
11;S;U
12;S;U
13;J;U
14;S;U
15;S;U
16;S;U
17;A;U
18;S;U
19;J;U
20;A;U
21;A;U
22;S;U
23;A;F
24;S;U
25;S;U
26;S;U
27;A;U
28;S;U
29;S;U
30;A;F
31;A;M
32;A;M
33;A;F
34;A;M
35;A;F
36;A;F
37;A;F
38;A;M
