ID;Class;Sex
1;A;U
2;S;U
3;A;U
4;A;F
5;A;F
6;S;U
7;A;M
8;S;U
9;A;M
10;A;U
11;S;U
12;A;F
13;S;U
14;S;U
15;S;U
16;A;M
17;A;F
18;S;U
19;A;M
20;A;F
21;A;M
22;J;U
23;S;U
