ID;Class;Sex
1;A;F
2;A;F
3;A;F
4;A;F
5;A;M
6;S;U
7;J;U
8;A;F
9;A;M
10;A;U
11;A;M
12;A;U
13;S;U
14;S;U
15;S;U
16;S;U
17;A;F
18;J;U
19;S;U
20;J;U
21;S;U
22;A;U
23;A;F
24;A;F
25;J;U
26;S;U
27;A;M
28;A;M
