ID;Class;Sex
1;A;M
2;S;U
3;A;F
4;J;U
5;A;F
6;J;U
7;A;U
8;A;U
9;A;U
10;S;U
11;A;M
12;A;U
13;A;U
14;S;U
15;S;U
