ID;Class;Sex
1;A;F
2;S;U
3;A;U
4;A;U
5;A;U
6;S;U
7;A;M
8;A;U
9;A;U
10;A;U
11;A;F
12;J;U
13;J;U
14;J;U
15;S;U
16;J;U
17;A;F
18;A;F
19;A;U
