ID;Class;Sex
1;A;F
2;A;M
3;A;F
4;S;U
5;A;U
6;A;F
7;A;F
8;A;F
9;A;M
10;S;U
11;A;M
12;S;U
13;A;F
14;S;U
15;S;U
16;S;U
17;A;F
18;A;F
19;J;U
20;A;F
21;S;U
22;S;U
23;S;U
24;J;U
25;S;U
26;J;U
27;A;U
