ID;Class;Sex
1;A;M
2;A;F
3;A;U
4;A;F
5;S;U
6;A;F
7;S;U
8;S;U
9;J;U
10;S;U
11;S;U
12;A;F
13;A;F
14;S;U
15;A;U
16;A;U
17;A;U
18;J;U
