ID;Class;Sex
1;A;M
2;A;U
3;A;U
4;S;U
5;S;U
6;A;M
7;A;U
8;S;U
9;A;U
10;A;F
11;J;U
12;A;F
13;J;U
14;S;U
15;S;U
16;S;U
17;S;U
18;A;U
19;A;U
20;A;M
21;S;U
22;A;F
23;S;U
24;A;U
25;A;M
26;S;U
27;A;U
28;A;M
