ID;Class;Sex
1;S;U
2;A;F
3;S;U
4;A;F
5;A;F
6;A;M
7;A;M
8;S;U
9;S;U
10;S;U
11;S;U
12;A;F
13;S;U
14;A;F
15;A;F
16;A;F
17;A;U
18;J;U
19;S;U
20;A;U
21;A;F
22;A;F
23;A;U
24;A;F
25;A;M
26;A;M
