ID;Class;Sex
1;A;M
2;A;F
3;A;F
4;S;U
5;S;U
6;S;U
7;S;U
8;S;U
9;A;U
10;S;U
11;J;U
12;J;U
13;A;U
14;A;U
15;A;U
16;A;F
17;A;U
