ID;Class;Sex
1;A;M
2;A;F
3;A;F
4;A;U
5;J;U
6;J;U
7;A;F
8;A;U
9;S;U
10;S;U
11;S;U
12;J;U
13;A;U
14;A;U
15;A;M
16;A;M
17;A;U
18;A;U
