ID;Class;Sex
1;S;U
2;A;U
3;S;U
4;S;U
5;A;U
6;S;U
7;A;U
8;A;U
9;S;U
10;S;U
11;A;F
12;A;M
13;J;U
14;J;U
15;J;U
16;S;U
17;S;U
18;A;U
19;A;U
20;A;F
21;J;U
22;A;U
23;A;U
24;A;U
25;A;U
26;S;U
27;A;U
28;A;U
29;S;U
