ID;Class;Sex
1;A;F
2;A;F
3;A;F
4;A;U
5;A;F
6;S;U
7;A;M
8;A;U
9;A;F
10;A;M
11;A;U
12;A;U
13;J;U
14;J;U
15;S;U
16;S;U
17;A;U
18;A;U
19;A;U
20;A;U
21;A;M
22;A;F
23;A;U
24;S;U
25;S;U
26;A;F
27;S;U
28;S;U
29;S;U
30;A;M
