ID;Class;Sex
1;A;M
2;A;F
3;A;F
4;J;U
5;A;F
6;A;F
7;J;U
8;A;U
9;A;U
10;A;U
11;A;F
12;J;U
13;A;F
14;J;U
15;S;U
16;J;U
17;A;M
18;A;U
19;S;U
20;A;U
21;A;U
22;A;U
23;S;U
24;A;U
