ID;Class;Sex
1;A;U
2;A;F
3;A;M
4;A;U
5;A;F
6;A;F
7;J;U
8;S;U
9;S;U
10;A;U
11;A;M
12;A;M
13;S;U
14;A;U
15;U;U
16;S;U
17;S;U
18;S;U
19;J;U
20;S;U
21;S;U
22;J;U
23;A;F
24;A;F
25;S;U
26;S;U
27;A;U
28;A;M
29;A;U
30;S;U
31;S;U
32;S;U
33;A;F
34;A;U
35;J;U
36;A;U
