ID;Class;Sex
1;A;M
2;S;U
3;S;U
4;A;M
5;A;F
6;A;F
7;A;F
8;A;F
9;A;F
10;A;M
11;A;F
12;S;U
13;A;F
14;S;U
15;S;U
16;A;F
17;A;F
18;J;U
19;S;U
20;A;F
21;S;U
22;S;U
23;S;U
24;A;M
25;A;F
26;A;F
27;A;F
