ID;Class;Sex
1;A;M
2;A;M
3;A;F
4;S;U
5;S;U
6;S;U
7;S;U
8;S;U
9;S;U
10;S;U
11;S;U
12;S;U
13;S;U
14;S;U
15;J;U
16;J;U
17;J;U
18;A;U
19;A;U
20;A;U
21;A;U
22;A;F
23;A;U
24;A;U
25;A;U
26;A;U
